interpretation_id,raw_text_ref,file_exists,answer_tier,quality_score,dataset_role,allowed_for_pretraining,allowed_as_context,forbidden_reason,text_length_chars,text_length_tokens_estimate,content_hash,reference_segment_count,embedding_status,in_build_external_embeddings
score50:F135380,answers/reference_answers/score50/F135380_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,607,137,04678e20d10c0a78f96b35bca0115c7c55770bc0a56d3e292ef519b16533d604,9,pending,True
score50:F155481,answers/reference_answers/score50/F155481_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,561,121,f3336a93869f9892dde7fd3f50a74c07ac8e916fd3c54b46e152d62a0c6db6ef,9,pending,True
score50:F188026,answers/reference_answers/score50/F188026_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,555,123,71db99ab6265a6c0c0311bbe8ef1805206e16241aff92a2e14459371e7c3e3dd,9,pending,True
score50:F194265,answers/reference_answers/score50/F194265_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,552,122,52261f7cd98857d280cdf79448f9d4b11e9e69dbd825f175103e4668edca983d,9,pending,True
score50:F209570,answers/reference_answers/score50/F209570_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,550,122,d80d426e8db5191a06b2ad09d9d44674a50f069a48fc1f09891a735346e54a14,9,pending,True
score50:F257178,answers/reference_answers/score50/F257178_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,605,137,d39fbc8867e627ea9b72784e4a9cf006a854ec9fc0e1c3fd7d4fd290e492b2cc,9,pending,True
score50:F279269,answers/reference_answers/score50/F279269_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,589,129,5dd9f2d0c4d260e9a9fb17af3ef0b4a49b0ad653d40c58f37c687bc9104cde02,9,pending,True
score50:F295998,answers/reference_answers/score50/F295998_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,567,126,1c1446a28cda10400a26a5a73433b93081db5e568cdea61057ed555b8cd84e33,9,pending,True
score50:F302129,answers/reference_answers/score50/F302129_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,541,120,a0554a0ad235be90bfba07cf3f62a75b0f74067f2cf33c940c65a3b2ed9ca972,9,pending,True
score50:F332196,answers/reference_answers/score50/F332196_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,552,123,0651883cf9bf3f68117327614f33bc4bc5c3530754e4bd7ed60e2d9a042abcbd,9,pending,True
score50:F354848,answers/reference_answers/score50/F354848_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,553,121,e2a268129a194640b9b7370cccc344c238309a972c83ac23dfe385a9cdd1215e,9,pending,True
score50:F385790,answers/reference_answers/score50/F385790_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,568,128,27d72281ffb41bf714689e92f177f44a46c750cb44afed7a3bb675872cf8f076,9,pending,True
score50:F393975,answers/reference_answers/score50/F393975_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,583,131,949353fa12f0cc33294ef615695406541a013a61e5a32a772026fdc68f4ad821,9,pending,True
score50:F396544,answers/reference_answers/score50/F396544_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,546,121,80f6bda16adfbdef92dc746f14d0ae5511b61b5dff0ca2a3ba618059511b906e,9,pending,True
score50:F420458,answers/reference_answers/score50/F420458_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,548,121,84da805ea3373fadf871f5bde7a7a223e75ceb2cd79b9b21e99b54ea22c06220,9,pending,True
score50:F451640,answers/reference_answers/score50/F451640_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,550,121,cf0953e05c59ce4919e46ad61d978dc7c72c6630269eb464fae9b3cde1ab39a5,9,pending,True
score50:F538612,answers/reference_answers/score50/F538612_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,565,127,0b3a9ffdbe5ec1c33f0ff3e778a659a0110aa7f392a78b8b55acd6a509530f25,9,pending,True
score50:F541027,answers/reference_answers/score50/F541027_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,560,123,b9c7b37105ae998eccd4d1db0d3a10fa3069985e9394afb0bb8104d8579da58d,9,pending,True
score50:F541562,answers/reference_answers/score50/F541562_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,549,121,ad365a35fab124a084533b7f91d4e7527908fc13e998689d0f7ad78e9f482615,9,pending,True
score50:F551358,answers/reference_answers/score50/F551358_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,581,131,d157cef3633f404efdb769a09284bebb2dc08608b84271bdbacca7e06fc62732,9,pending,True
score50:F584775,answers/reference_answers/score50/F584775_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,583,127,eac63e4646a9b1092195fc5d329d13547f2813e1eb9a96329ec570e84f08d6b2,9,pending,True
score50:F596090,answers/reference_answers/score50/F596090_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,562,124,6e033e2a5c1efe4b9cae15743d8b7df49a20d145b7f8151a08291e25d469f58b,9,pending,True
